Category,Masseges
spam,"For ur chance to win a Ã¥Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
ham,Well I might not come then...
ham,Long after I quit. I get on only like 5 minutes a day as it is.
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
ham,"Just arrived, see you in a couple days &lt;3"
ham,"K, wat s tht incident?"
ham,Yeah get the unlimited
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,ÃŒÃ got wat to buy tell us then ÃŒ_ no need to come in again.
ham,When you are big..| God will bring success.
spam,UÂ‰Ã›Âªve Bin Awarded Ã¥Â£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min Ã¥Â£50-Ã¥Â£500. OptOut 08718727870
ham,"Â‰Ã›_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""ham"""
ham,Not from this campus. Are you in the library?
ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
ham,How will I creep on you now? ;_;
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,If I get there before you after your ten billion calls and texts so help me god
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,I've told him that i've returned it. That should i re order it.
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office.."
ham,Depends on where u going lor.
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
spam,FreeMsg>FAV XMAS TONES!Reply REAL
ham,Lil fever:) now fine:)
ham,I think it's all still in my car
ham,Can a not?
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham,Yes princess! I want to catch you with my big strong hands...
ham,Oh yeah I forgot. U can only take 2 out shopping at once.
ham,Mm so you asked me not to call radio
ham,Thinkin about someone is all good. No drugs for that
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,"Alright if you're sure, let me know when you're leaving"
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,Genius what's up. How your brother. Pls send his number to my skype.
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
spam,INTERFLORA - Ã¥Ã’It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,Oh god..taken the teeth?is it paining
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
ham,No need to buy lunch for me.. I eat maggi mee..
spam,"Congratulations - Thanks to a good friend U have WON the Ã¥Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
ham,Ok lor...
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
ham,Wife.how she knew the time of murder exactly
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
ham,Howz that persons story
ham,Thanx 4 sending me home...
ham,Its normally hot mail. Com you see!
spam,"You've won tkts to the EURO2004 CUP FINAL or Ã¥Â£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,U sick still can go shopping?
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
ham,Nice.nice.how is it working?
ham,1's reach home call me.
ham,Were trying to find a Chinese food place around here
ham,"Easy mate, * guess the quick drink was bit ambitious."
ham,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
ham,Ok thanx...
ham,aathi..where are you dear..
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,Will be out of class in a few hours. Sorry
ham,Wat time u finish ur lect today?
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,Are you going to wipro interview today?
ham,how tall are you princess?
ham,I doubt you could handle 5 times per night in any case...
ham,Haha... Hope ÃŒ_ can hear the receipt sound... Gd luck!
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,I want to be there so i can kiss you and feel you next to me
ham,I am not at all happy with what you saying or doing
spam,Adult 18 Content Your video will be with you shortly
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,Smith waste da.i wanna gayle.
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,"Aight, tomorrow around  &lt;#&gt;  it is"
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
ham,See you there! 
ham,I dont understand your message.
ham,Crucify is c not s. You should have told me earlier.
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
ham,U still painting ur wall?
spam,"Last Chance! Claim ur Ã¥Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Ã¥Â£3.00 Sub. 16"
ham,Printer is cool. I mean groovy. Wine is groovying
ham,Hi Harish's rent has been transfred to ur Acnt.
ham,Anything lor is she coming?
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,ÃŒÃ still attending da talks?
ham,No probs hon! How u doinat the mo?
ham,K I'll take care of it
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,My battery is low babe
ham,Shuhui has bought ron's present it's a swatch watch...
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,K I'll be sure to get up before noon and see what's what
ham,K...k...yesterday i was in cbe .
ham,Went to ganesh dress shop
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,ÃŒÃ collecting ur laptop then going to configure da settings izzit?
ham,If you r @ home then come down within 5 min
ham,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,"Bill, as in: Are there any letters for me. iÂ‰Ã›Âªm expecting one from orange that isnÂ‰Ã›Âªt a bill but may still say orange on it."
ham,Tell me pa. How is pain de.
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,"Ha. You donÂ‰Ã›Ã·t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
ham,ALRITE
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
spam,URGENT! Your Mobile number has been awarded with a Ã¥Â£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
ham,How do you guys go to see movies on your side.
ham,"Sorry,in meeting I'll call later"
ham,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
ham,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
ham,What time should I tell my friend to be around?
ham,Yes. that will be fine. Love you. Be safe.
ham,Thanks chikku..:-) gud nyt:-*
ham,Is xy in ur car when u picking me up?
ham,"Thanx 4 the time weÃ¥Ã•ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
ham,"Yo, any way we could pick something up tonight?"
ham,I've not sent it. He can send me.
ham,Fine am simply sitting.
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,Are you coming to day for class.
ham,Im done. Just studyn in library
ham,Ok... U enjoy ur shows...
ham,Anything...
ham,Where wuld I be without my baby? The thought alone mite break me and I donÃ¥Ã•t wanna go crazy but everyboy needs his lady xxxxxxxx
ham,Wat's my dear doing? Sleeping ah?
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,"Yeah, we got one lined up for us"
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*"""
ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
ham,Hey i've booked the pilates and yoga lesson already... Haha
ham,Are you ok. What happen to behave like this
spam,You have 1 new message. Please call 08712400200.
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. "
ham,No message..no responce..what happend?
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
ham,make that 3! 4 fucks sake?! x
ham,Leave it. U will always be ignorant.
ham,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
ham,at bruce b downs &amp; fletcher now
ham,Where are you ? You said you would be here when I woke ... :-(
ham,Hey now am free you can call me.
ham,Tell me whos this pls:-)
spam,"URGENT! Your mobile was awarded a Ã¥Â£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
ham,Id have to check but there's only like 1 bowls worth left
ham,Yes there were many sweets
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,Sir send to group mail check it.
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""""
ham,You dont know you jabo me abi.
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,"Are you being good, baby? :)"
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,"Mostly sports type..lyk footbl,crckt.."
ham,Ma head dey swell oh. Thanks for making my day
ham,U should make a fb list
ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
ham,Happy New Year Princess!
ham,"I'll text carlos and let you know, hang on"
ham,"Don't worry, * is easy once have ingredients!"
ham,I love u 2 my little pocy bell I am sorry but I love u
ham,"Ok omw now, you at castor?"
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,"Tonight? Yeah, I'd be down for that"
ham,What should i eat fo lunch senor
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! "
ham,No break time one... How... I come out n get my stuff fr ÃŒ_?
spam,Reply to win Ã¥Â£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
ham,Do you still have the grinder?
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,K.i did't see you.:)k:)where are you now?
ham,So i'm doing a list of buyers.
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,Don know..he is watching film in computer..
ham,No b4 Thursday
ham,"Oh, then your phone phoned me but it disconnected"
ham,Id onluy matters when getting on from offcampus
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
ham,"Excellent, I'll see what riley's plans are"
ham,I will see in half an hour
spam,"You've won tkts to the EURO2004 CUP FINAL or Ã¥Â£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Ew are you one of them?
ham,Also hi wesley how've you been
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
spam,"Loan for any purpose Ã¥Â£500 - Ã¥Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,"Hm good morning, headache anyone? :-)"
ham,Yeah no probs - last night is obviously catching up with you... Speak soon 
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,I might go 2 sch. Yar at e salon now v boring.
ham, &lt;#&gt;  mins but i had to stop somewhere first.
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,I didn't get the second half of that message
ham,Wat time do u wan 2 meet me later?
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,Am in film ill call you later.
ham,How dare you change my ring
ham,You are a very very very very bad girl. Or lady.
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,"What part of \don't initiate\"" don't you understand"""
ham,I finished my lunch already. U wake up already?
ham,You still at the game?
ham,You have got tallent but you are wasting.
ham,What is your record for one night? :)
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,"Aight, lemme know what's up"
ham,Get ready for  &lt;#&gt;  inches of pleasure...
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,;-) ok. I feel like john lennon.
ham,Cos darren say ÃŒ_ considering mah so i ask ÃŒ_...
ham,You are not bothering me but you have to trust my answers. Pls.
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
ham,Aight what time you want me to come up?
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,Your bill at 3 is Ã¥Â£33.65 so thats not bad!
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,So how's the weather over there?
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! "
ham,Die... Now i have e toot fringe again...
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,Ok
ham,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite"""
ham,Please leave this topic..sorry for telling that..
ham,Pls send me the correct name da.
ham,What happened to our yo date?
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Ã¥Â£100 Cash WKENT/150P16+
ham,Webpage s not available!
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,K..k...from tomorrow onwards started ah?
ham,What u talking bout early morning? It's almost noon where your at!
ham,Fine. Do you remember me.
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
ham,Ok. How many should i buy.
ham,"Sounds good, keep me posted"
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,Ok. So april. Cant wait
ham,Boy you best get yo ass out here quick
ham,Ay wana meet on sat?ÃŒ_ wkg on sat?
ham,I'm now but have to wait till 2 for the bus to pick me.
ham,Apart from the one i told you about yesterday?
ham,Ok lor... But buy wat?
ham,Somebody should go to andros and steal ice
ham,Don know. I did't msg him recently.
ham,Take us out shopping and Mark will distract Isaiah.=D
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
ham,There is no sense in my foot and penis.
ham,Okay but i thought you were the expert
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
ham,"And very importantly, all we discuss is between u and i only."
ham,K..k:)how about your training process?
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,In da car park 
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
ham,So i asked how's anthony. Dad. And your bf
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
ham,What Today-sunday..sunday is holiday..so no work..
ham,Am going to take bath ill place the key in window:-)
spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
ham,"Yo, you at jp and hungry like a mofo?"
ham,This is all just creepy and crazy to me.
ham,Ok... I din get ur msg...
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,Pathaya enketa maraikara pa'
ham,Even if he my friend he is a priest call him now
ham,"U so lousy, run already come back then half dead... Hee..."
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
ham,Or remind me in a few hrs.
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
ham,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
spam,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
ham,Short But Cute : \ Be a good person 
ham,Just haven't decided where yet eh ?
ham,"Wat time liao, where still got."
ham,Yes watching footie but worried we're going to blow it - Phil Neville?
ham,I wait 4 ÃŒ_ inside da car park...
ham,Uncle Abbey! Happy New Year. Abiola
ham,Now am free call me pa.
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,Stop knowing me so well!
ham,Good evening! this is roger. How are you?
ham,Small problem in auction:)punj now asking tiwary
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,He telling not to tell any one. If so treat for me hi hi hi
ham,My uncles in Atlanta. Wish you guys a great semester.
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,U coming 2 pick me?
ham,Thats cool. i liked your photos. You are very sexy!
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
ham,"Haha better late than ever, any way I could swing by?"
ham,Ok. But i finish at 6.
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
ham,So no messages. Had food?
ham,Ok going to sleep. Hope i can meet her.
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
ham,You're right I have now that I think about it
ham,Wat r u doing now?
ham,Is ur lecture over?
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,Customer place i will call you
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,"Haha I heard that, text me when you're around"
ham,I.ll get there tomorrow and send it to you
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
